review_text,rating,helpful_yes,helpful_total,Time
"Great product, works perfectly",3,15,39,1325376000
Decent product for the price,5,4,6,1325451753
"Terrible experience, would not recommend",5,28,31,1325527506
Exceeded my expectations,4,31,47,1325603260
"Terrible experience, would not recommend",2,15,18,1325679013
Decent product for the price,2,2,5,1325754766
Exceeded my expectations,1,5,19,1325830520
Decent product for the price,5,26,26,1325906273
Packaging was damaged but product works,4,34,42,1325982027
"Average product, nothing special",5,32,36,1326057780
Not satisfied with the quality,1,17,47,1326133533
Not satisfied with the quality,5,4,6,1326209287
"Great product, works perfectly",5,4,4,1326285040
"Average product, nothing special",2,9,10,1326360794
"Average product, nothing special",2,4,14,1326436547
"Great product, works perfectly",2,1,2,1326512300
Exceeded my expectations,3,0,4,1326588054
"Great product, works perfectly",4,0,22,1326663807
Exceeded my expectations,3,24,36,1326739561
"Great product, works perfectly",3,1,8,1326815314
Very good quality and value for money,4,6,14,1326891067
Very good quality and value for money,2,1,2,1326966821
Packaging was damaged but product works,3,19,28,1327042574
Fast delivery and excellent quality,3,4,5,1327118327
"Great product, works perfectly",4,11,16,1327194081
"Average product, nothing special",5,16,25,1327269834
Very good quality and value for money,2,15,20,1327345588
"Poor build quality, stopped working",4,3,7,1327421341
Exceeded my expectations,4,15,20,1327497094
Very good quality and value for money,1,2,10,1327572848
Very good quality and value for money,4,11,37,1327648601
Decent product for the price,2,4,7,1327724355
Exceeded my expectations,1,41,41,1327800108
Not satisfied with the quality,5,21,23,1327875861
"Terrible experience, would not recommend",5,33,34,1327951615
Exceeded my expectations,5,6,13,1328027368
Packaging was damaged but product works,3,12,13,1328103122
Decent product for the price,1,2,9,1328178875
Exceeded my expectations,4,0,11,1328254628
Exceeded my expectations,3,25,37,1328330382
Fast delivery and excellent quality,2,34,43,1328406135
Decent product for the price,4,24,45,1328481889
Exceeded my expectations,1,14,33,1328557642
"Terrible experience, would not recommend",5,21,40,1328633395
"Terrible experience, would not recommend",3,5,9,1328709149
"Poor build quality, stopped working",4,14,16,1328784902
Decent product for the price,3,6,16,1328860655
Not satisfied with the quality,4,0,2,1328936409
Exceeded my expectations,4,28,30,1329012162
Fast delivery and excellent quality,2,0,0,1329087916
Fast delivery and excellent quality,5,4,11,1329163669
"Average product, nothing special",5,4,38,1329239422
Not satisfied with the quality,5,1,3,1329315176
Fast delivery and excellent quality,5,3,41,1329390929
"Terrible experience, would not recommend",4,5,12,1329466683
"Average product, nothing special",5,17,33,1329542436
"Great product, works perfectly",1,34,41,1329618189
Fast delivery and excellent quality,2,16,20,1329693943
Packaging was damaged but product works,1,17,21,1329769696
Decent product for the price,3,1,3,1329845450
Fast delivery and excellent quality,3,1,17,1329921203
Very good quality and value for money,3,4,4,1329996956
Not satisfied with the quality,5,14,18,1330072710
Very good quality and value for money,3,0,1,1330148463
"Poor build quality, stopped working",3,2,11,1330224217
Fast delivery and excellent quality,4,4,16,1330299970
"Great product, works perfectly",2,4,9,1330375723
Very good quality and value for money,5,2,33,1330451477
Very good quality and value for money,1,2,5,1330527230
Not satisfied with the quality,5,3,7,1330602983
"Average product, nothing special",5,6,10,1330678737
"Great product, works perfectly",2,11,11,1330754490
Very good quality and value for money,1,1,8,1330830244
Exceeded my expectations,5,1,1,1330905997
"Great product, works perfectly",5,3,7,1330981750
Exceeded my expectations,5,3,10,1331057504
Fast delivery and excellent quality,5,32,35,1331133257
Very good quality and value for money,1,9,9,1331209011
Very good quality and value for money,3,15,20,1331284764
"Terrible experience, would not recommend",2,7,19,1331360517
"Terrible experience, would not recommend",5,16,47,1331436271
Not satisfied with the quality,4,7,7,1331512024
Decent product for the price,3,6,35,1331587778
Decent product for the price,1,24,28,1331663531
"Average product, nothing special",3,7,41,1331739284
Not satisfied with the quality,3,4,11,1331815038
Decent product for the price,5,7,13,1331890791
Not satisfied with the quality,4,30,47,1331966544
Very good quality and value for money,5,11,49,1332042298
"Terrible experience, would not recommend",4,15,20,1332118051
"Terrible experience, would not recommend",2,11,21,1332193805
"Terrible experience, would not recommend",5,18,20,1332269558
Decent product for the price,5,9,43,1332345311
"Great product, works perfectly",4,38,49,1332421065
Packaging was damaged but product works,5,11,29,1332496818
Very good quality and value for money,4,19,38,1332572572
Fast delivery and excellent quality,4,4,19,1332648325
Not satisfied with the quality,3,15,23,1332724078
"Terrible experience, would not recommend",1,8,22,1332799832
"Terrible experience, would not recommend",2,6,6,1332875585
"Terrible experience, would not recommend",1,3,8,1332951339
Very good quality and value for money,4,0,0,1333027092
"Terrible experience, would not recommend",3,21,25,1333102845
"Average product, nothing special",4,13,37,1333178599
Not satisfied with the quality,5,10,37,1333254352
Very good quality and value for money,2,6,43,1333330106
Not satisfied with the quality,3,9,21,1333405859
Exceeded my expectations,5,28,43,1333481612
"Poor build quality, stopped working",2,8,9,1333557366
"Average product, nothing special",1,3,5,1333633119
"Great product, works perfectly",3,15,16,1333708872
"Great product, works perfectly",2,9,49,1333784626
Packaging was damaged but product works,5,18,37,1333860379
"Average product, nothing special",5,23,23,1333936133
Not satisfied with the quality,4,0,9,1334011886
"Great product, works perfectly",5,0,7,1334087639
"Poor build quality, stopped working",5,12,20,1334163393
"Great product, works perfectly",2,0,5,1334239146
"Terrible experience, would not recommend",5,1,20,1334314900
Packaging was damaged but product works,4,23,38,1334390653
Very good quality and value for money,5,8,23,1334466406
Fast delivery and excellent quality,5,6,32,1334542160
Fast delivery and excellent quality,3,15,17,1334617913
"Great product, works perfectly",2,18,27,1334693667
